str1,str2,date1,int1,float1,date2,str5,str6,str3,int2,float2,str4
AAATw44GgXQ,2oQbqNUs,1995-04-05,85,4.712,2003-04-21,,,TYuGFry9,86,7.433,AAA
AAAlyRwWgcc,2OQVGCF0,1983-08-01,67,-9.376,1996-11-04,,,Dy3aRShD,84,3.865,AAA
FFtTyzGmX4,2ORFFh2R,2017-04-24,-98,-9.728,1976-04-10,,,F43FVMZ3,-64,6.597,FFt
KKHrFBafx3,2ORkbv5N,2016-05-29,-61,-0.61,2012-04-01,,,2umnmUcA,-45,7.231,KKH
FFPHCFevGe,2ovwU9YD,1991-06-11,8,-0.974,1953-04-09,,,sTSr5k3A,17,-1.232,FFP
GGTvZ246uO,2OWehmPQ,1976-02-23,97,-5.599,2004-12-27,,,rCVB6hHe,-12,4.484,GGT
HHH6R9aJQbH,2OwTb6yv,1960-02-01,-41,2.861,1964-04-13,,,e4rivlyS,67,-7.766,HHH
BBBib2J6FbK,2ozy44fy,2011-06-13,-92,-3.302,1973-12-14,,,YZOamwGv,-89,-5.82,BBB
AAAz2Kx2n8z,2OzllZ3E,1998-10-10,62,-6.059,1985-06-11,,,xNlrFoYO,84,-9.464,AAA
BBBVfN9nGtL,2P9VXuFB,1956-04-09,-27,-0.793,1954-01-15,,,RKAQO1MQ,-77,-4.209,BBB
EEE7sFOo5VJ,2PakH6Kz,1963-11-14,-87,2.062,1969-02-10,,,Zix5bVCz,47,4.051,EEE
EEE1CiSiCmx,2peu480r,2012-06-26,86,5.229,2002-03-11,,,COF7a1KQ,-37,0.975,EEE
DDDD42jO818T,2py2eAV8,1988-08-05,37,1.024,2008-10-12,,,mjb6k3Xh,74,8.838,DDD
AAA8j4LiLK1,2PinZcyU,1960-04-26,-39,0.687,1985-05-21,,,24hW8nih,-70,-1.191,AAA
KKp0pQCChE,2pK0y0Or,1956-04-24,100,-2.944,2009-12-24,,,mWPIWLSI,-56,-6.339,KKp
BBBmxny6VsO,2pKAbYeF,1988-06-16,-54,-9.174,2004-01-17,,,B6CmZQmX,39,8.971,BBB
CCKWNrkDEF,2pkzm0gV,1958-03-06,-95,-0.394,1995-10-05,,,QMeVDtfk,32,-9.864,CCK
GG8fluLVij,2PlwBG6s,2001-06-10,-63,-6.079,2013-01-20,,,AIlF1smY,-81,-6.58,GG8
LLLI5K0qpPy,2pMZDCLz,1981-06-04,13,-7.827,1989-05-11,,,9KKCzDuD,-93,-3.71,LLL
AAA46HKA8EU,2pnIXphF,2013-11-01,-74,0.41,1959-12-17,,,YyAVQ40p,-60,-4.703,AAA
BBBGeozriHz,2PpgZSqM,1975-01-15,-52,3.883,2011-03-16,,,8E2aMoAx,-75,-6.403,BBB
FFyDgSzDiT,2PqJZAE9,1963-10-19,-19,-1.161,2000-02-26,,,hmOIkrsk,100,0.495,FFy
DDDDA9PwHiaX,2pQLBeLR,1996-09-11,-42,-4.796,1967-09-10,,,AwQs0Gc9,-38,-2.957,DDD
KKhwGMuVQO,2pR3LVGX,1972-02-01,-27,8.049,1967-12-10,,,kEzoQMqG,-10,3.092,KKh
LLLi5pkwVmA,2pr9sl4P,1972-02-17,-50,-6.119,2002-09-19,,,xhF1GqAE,-18,2.763,LLL
AAAZf4Q403w,2pRpUQM8,2014-04-03,-94,-8.479,2002-02-23,,,nWf2VC56,-62,8.392,AAA
HHHwHO6MDs7,2pRzKv1D,1952-02-19,32,7.455,1990-12-15,,,z6bLMVZj,-9,4.669,HHH
FFQqFlMJ2L,2PsRaBKP,2011-01-06,-32,-1.909,2000-06-02,,,4ALLzflo,-9,7.232,FFQ
BBBP0p3kpTu,2pt5Sw0x,1996-02-13,54,-3.242,2008-08-23,,,c0RYKQy9,45,3.858,BBB
LLL7J8Uvztr,2PtNtIG5,1960-11-18,11,3.605,1962-05-09,,,1c7tbItq,63,5.969,LLL
EEEthn7RgQl,2PtxPWzI,2006-04-02,-96,5.232,2015-07-01,,,kf8Lp5qu,-12,8.634,EEE
AAAg4Wsf15N,2PUS0PmL,1999-03-15,-20,9.926,1972-04-04,,,FjHNUSNF,45,-2.229,AAA
DDDDMlgjhhBB,2pZ4Iz7u,1987-11-22,0,9.282,1968-12-09,,,21IvAA5F,2,-3.18,DDD
EEE7wAWauvO,2Q23fKFy,1982-01-17,43,6.701,1953-01-13,,,ccw2y26B,4,3.13,EEE
BBBhZZoAv41,2Q6e4VTu,1993-11-13,83,9.344,1981-04-05,,,0x7Q8qJU,10,9.169,BBB
KK3V29yEHq,2q6o7HDe,1970-03-04,-64,-3.413,1971-01-30,,,nU5bRehV,43,6.272,KK3
BBBQso1eUH7,2Q721yzI,1960-12-09,-55,5.809,1998-07-18,,,IygbKHTM,-69,-9.684,BBB
BBBncHRg120,2q7cfxKx,1999-01-18,95,-1.574,2001-04-20,,,ocIyOr8g,59,-9.544,BBB
AAANrafn5cW,2Q7EFXkm,1979-07-12,-60,3.305,1958-01-28,,,GiPYVzvE,47,-5.518,AAA
LLL9cUGD9eL,2qA2yCXL,1968-08-10,39,-3.509,1964-01-19,,,vUSJD7wm,62,-3.078,LLL
GG9YsvUJio,2Qc6jfvL,2006-03-04,68,-5.848,1981-05-25,,,x4bCEZDZ,64,-4.815,GG9
DDDDxABAmgH2,2Qy6PD5o,1988-09-10,-60,1.774,1955-08-27,,,TzXsaPl8,76,4.175,DDD
AAAsXyXQFD1,2qL3UXXM,1951-07-05,1,2.133,1987-10-31,,,Q7MrO8z9,72,-5.843,AAA
AAAB0qYgtIZ,2QmssH6v,1993-12-18,78,6.491,2000-04-04,,,iewt1RI1,65,-0.273,AAA
KKfZ3oIDO3,2QRFxVw7,1964-12-03,9,1.723,1990-11-18,,,KMlNAqAJ,49,-8.3,KKf
DDDDSwxYiHGW,2QtHzrrF,1976-08-27,-4,1.158,2010-05-10,,,jeaPnXrV,0,4.371,DDD
LLL1myy1MeX,2qUrvv6L,1990-03-11,9,-8.734,1960-05-11,,,KMqyF61s,-38,6.737,LLL
KKSxrSXHoe,2quXb82f,1966-09-27,-2,-7.051,2005-04-22,,,PRE1CoD8,-17,-4.418,KKS
BBBlyBrypcZ,2QVX7Wti,1993-03-18,85,-4.717,1993-12-03,,,zWRrfcZX,47,4.468,BBB
DDDD60h06Q3N,2QwDmhXW,2001-01-17,-83,7.613,1956-05-03,,,220bzKSw,89,-9.596,DDD
FFVtbH9auK,2r1M6mu8,1956-11-30,-41,-0.446,1975-09-13,,,NVLQjNq7,11,-3.814,FFV
DDDD6TWDIVuM,2r5zFpRb,1971-08-26,-64,7.597,2013-08-30,,,vl8fkf7Z,10,6.374,DDD
LLLIgc1MbUy,2raLAKRy,1972-08-07,-98,-5.65,1992-12-18,,,KWPwNilA,70,6.585,LLL
AAAJiSQsfij,2Rb5JGP1,1979-12-06,-32,-2.788,1988-04-29,,,ga1z285m,99,8.388,AAA
BBBsOFqDDrg,2rBoHuhD,1987-01-26,29,-2.066,2001-12-23,,,7zcAwZiD,-32,5.585,BBB
EEE0bonipaT,2RcOaypa,1988-06-10,3,-5.48,1979-05-03,,,YuaVvE20,66,-5.311,EEE
CCrVxGroyO,2RD2prlf,1990-12-19,-75,-5.448,1999-09-12,,,GY1N653J,-71,-4.099,CCr
LLL00BXXg28,2rHobRTn,1992-11-05,41,-4.508,2014-04-23,,,kgeV7Kko,44,0.704,LLL
EEEzwIy0w4I,2RHOwMFo,1978-03-04,-17,2.004,1958-11-07,,,P3pAF9Gs,-36,-4.673,EEE
CCnp8BAyc5,2rHRmP6u,1996-01-31,53,-8.82,2003-05-17,,,1FnooM5O,-13,-2.521,CCn
FF2J1522rs,2rii5qO5,1986-07-03,-3,6.533,1973-09-01,,,2hYSl42b,-4,0.331,FF2
BBBOyF03Syc,2RLUqV1i,1951-04-21,34,-8.111,1960-07-04,,,moc6ZNJU,-71,5.608,BBB
CCgWeN9fI5,2RNgpR07,1993-08-07,-54,1.432,2008-03-26,,,6iB6WCDB,-73,4.579,CCg
FFujL8N3CO,2rP0m1rI,1958-03-07,-90,4.179,1984-06-02,,,kaRhMJLW,7,4.588,FFu
AAAMJmz0mKD,2RQQoURh,1988-10-25,-21,3.022,1983-07-11,,,Vr2gYhYb,57,-0.63,AAA
CC6mw92qZh,2rQrc36i,1970-05-27,75,-4.59,1992-06-11,,,MyiI6V0l,23,-1.672,CC6
GGpKTBRy2X,2rVgSkAn,1973-04-22,-13,-2.436,1969-01-20,,,ZfnFUADJ,44,-6.732,GGp
FFFQ9jwYtu,2rx9ABi9,2003-07-09,-88,3.134,1953-09-28,,,XeYqwtNQ,-81,-8.729,FFF
BBBbPhmV7Ku,2RxnQmN3,2004-05-14,24,-1.63,1980-08-21,,,Bp9563JT,-18,-2.715,BBB
HHHAE7QblG7,2S1mnxDt,1963-06-19,1,-4.86,1962-04-06,,,eXFrFft3,76,9.796,HHH
HHH5XQ8NvJs,2s37My3U,1999-11-21,78,6.52,2000-11-22,,,ovE4k7Om,39,-4.301,HHH
GGZCkDl7D0,2s6PswZh,2000-09-24,-81,-3.01,2004-07-27,,,W0nViW3s,70,0.388,GGZ
GGcnpuMa0x,2S7tYOoz,2011-11-30,-82,3.177,1969-08-05,,,TkBC7pgQ,70,8.282,GGc
FF7hoEUimM,2s8cjC5o,2003-05-30,-77,-8.49,2008-03-07,,,vu32jvLB,-76,4.57,FF7
HHHzAqYoNWp,2saterHh,1994-02-16,-76,-5.048,1955-11-19,,,XDXwIN0t,92,-3.187,HHH
KK0pOwiz18,2se7Ymmn,2003-06-27,-2,-1.654,1959-02-17,,,JULVexqv,0,-1.211,KK0
HHHCWljts84,2SExNwXS,1964-09-07,35,7.101,1962-07-28,,,5xPYeJvB,-90,4.356,HHH
KKsXxk6pwD,2sFppO0U,1975-03-04,-43,5.029,1957-09-12,,,EKsCNRns,-78,5.538,KKs
DDDDyI9RyrXb,2SGPyUfT,2013-04-23,10,3.987,1990-03-30,,,D5EIO5SA,6,-1.134,DDD
LLLJ0Sh52ve,2sHwTqql,1982-08-15,-70,-9.054,1990-09-07,,,5vmghFg4,84,4.421,LLL
DDDD28rOv66m,2SI0QEBw,1984-03-01,-42,-0.066,1964-03-28,,,iWClfcrS,3,2.137,DDD
KKCfzqlnvT,2sixNGT5,1995-11-24,-29,-4.978,1995-05-03,,,99Im8FkC,84,7.625,KKC
AAAjjU0Fu5s,2sjBbZwR,1978-01-12,-89,5.525,1980-12-24,,,DZ6LNpe1,19,3.787,AAA
GGMjnfUKDG,2sk70iy0,1971-03-03,-73,2.864,1995-07-24,,,2vTsgjRW,-56,-8.145,GGM
CCMYI5fE6G,2skNxDGC,1990-06-09,3,-2.15,1992-09-17,,,T2UjKqIv,70,-2.833,CCM
GG1sgWSBb7,2sMxImZo,1980-10-03,99,-6.963,1969-11-10,,,roDHcrIy,-5,-6.077,GG1
DDDDaeJHeW9q,2sOcnXym,1996-03-30,46,1.286,1983-11-11,,,76XJL0mt,89,1.676,DDD
BBByxFyZQpH,2SpvXXJz,2007-04-29,58,-8.086,2003-12-08,,,w7W0UASj,-90,6.932,BBB
GGZ53WboWe,2sRYeruP,2005-11-11,-65,-1.47,1991-10-24,,,RfOTus6K,78,2.67,GGZ
EEEDHeg96ob,2sRxlwX5,2008-10-06,67,-6.859,1961-09-30,,,ykK4ObFG,10,-1.994,EEE
LLLQWhrQxyp,2SsFxP68,1967-07-11,-78,-4.262,1988-03-09,,,zA3TI6IV,84,6.954,LLL
EEE4nRulTEF,2sTycHbJ,2003-02-03,-1,0.994,1986-01-30,,,AqX3XOj2,43,6.693,EEE
DDDDLG9YxHu7,2sTVlaD8,1997-03-09,24,-8.956,1964-12-15,,,RRwsqPyv,-44,0.469,DDD
AAAr8rf3AKk,2SX8ToaM,2007-02-04,80,-2.143,1951-01-10,,,fFeBqrWW,-15,-0.416,AAA
BBBSPjofz9O,2t1NwqZj,1987-02-11,-99,-5.539,2013-03-30,,,Tsg87A3s,87,-6.994,BBB
DDDDQmOMILoF,2t1ZCDJ9,2014-09-25,29,-0.43,2003-04-10,,,hwpFt9RH,-59,-6.062,DDD
LLLU32bxnSV,2T2zKBwV,1993-06-28,-22,-4.584,2000-10-18,,,lmUbWRa7,35,2.793,LLL
DDDDViyBhlqo,2t3LEKpE,1988-06-07,99,-5.836,2013-07-22,,,aQx0zwYJ,-4,6.377,DDD
BBBoH5HqQy9,2t5E6LW3,1963-12-07,-68,3.805,2004-05-04,,,nz3ii2qr,72,-4.215,BBB
EEEHrE8rvvQ,2T9P06MB,1982-10-01,45,0.401,2016-05-02,,,XO4Rh6ea,72,-2.525,EEE
LLL4smgSF8E,2tBa0jxD,1987-04-03,59,-2.836,2002-11-11,,,0OS0JEsv,92,5.363,LLL
LLLesO8jHmM,2teBrGcB,2007-06-14,43,3.477,1994-05-08,,,KVPLHGuh,-47,5.716,LLL
AAA3gBC628I,2TEFx9g1,1957-04-24,83,3.192,2008-04-17,,,3uBp4YWS,12,0.263,AAA
CClX3uMc17,2TeqBRcx,1971-02-20,51,6.693,1955-05-22,,,r5FTMVlK,-69,9.101,CCl
LLLLsChK6hl,2tFEYrbD,1957-09-09,51,-6.641,2014-09-03,,,nrUHPp3Z,61,-0.967,LLL
LLL9IhKD63b,2Ti6Y24I,1980-03-11,89,0.852,1988-06-03,,,q6pg75H8,54,-3.044,LLL
DDDDzJbsTgzf,2tJsVh2f,2007-06-01,76,-9.737,1959-03-06,,,EpLsLOyz,41,-4.948,DDD
CCyeVNpaMx,2TkmlLmc,1994-01-20,96,2.248,1984-08-09,,,iPXgIob9,89,1.254,CCy
AAAF55STlLt,2tOOE8EY,1994-12-14,63,-8.739,1955-12-05,,,I7AznzNs,87,-3.664,AAA
GGzIMEMcOL,2tPAySge,2008-03-08,-22,-1.52,1954-02-20,,,gcLEhfOf,-93,0.472,GGz
HHHw8xFqZV4,2tpqSgS4,1990-08-15,-76,1.861,2016-02-13,,,emra9y0R,-77,-7.295,HHH
LLLPPzPlyVp,2TPWSpNH,1975-01-08,19,-4.913,1999-05-09,,,MrIpVLGK,-96,-3.784,LLL
CCAMpl7N21,2TR0ICqw,1963-01-15,-35,9.851,2004-04-27,,,x0a6PEK4,-15,9.699,CCA
FFolpbfiCv,2TrjbkZp,1972-09-04,-73,0.73,1989-06-07,,,CPRLiWaF,76,-9.436,FFo
EEEPGhegHKA,2TRlusxb,1974-05-21,67,6.371,1984-01-27,,,QqDphwXt,-3,-7.157,EEE
KKgUetDvOO,2trWvcOc,1961-04-02,51,-4.298,1990-01-11,,,WXc2lDjW,90,9.315,KKg
FFItXGPtyH,2tSBB5w0,2010-09-16,-83,2.901,1958-06-20,,,Cz3lPNPe,25,6.837,FFI
FFRpZkeM7g,2Tspb6YF,2010-10-26,-53,-2.575,1960-10-07,,,5hVrNei4,-45,5.5,FFR
EEE3mxYFDe4,2TulnNM3,1961-05-08,-41,6.526,1980-03-13,,,3oJur91p,73,-7.266,EEE
KKrVvEJOG9,2TwfcfzP,1971-02-05,-11,3.172,2017-04-20,,,A26tQpCK,1,9.09,KKr
LLLmDyvBW3e,2U1BEXrV,1971-06-13,-87,7.893,1960-04-04,,,AC42YF69,-12,-1.155,LLL
FFHYyo9ggZ,2u4PgtO7,1996-06-23,96,5.002,2004-09-14,,,gs92B4wn,86,-1.317,FFH
EEE7P5eGR2B,2U5WWV0r,1984-07-04,19,1.994,2001-06-21,,,qZWhxFlL,-57,6.816,EEE
BBBguxE5AOg,2u6p7i1E,1976-05-21,-19,-1.826,2001-12-11,,,BCahxEYh,33,-4.114,BBB
EEEKhykwJw4,2u8waSB7,2014-02-26,27,1.618,1995-05-31,,,quVwPz79,-94,-0.865,EEE
EEEiZCigKLN,2ubUB9jn,1977-04-27,-25,-8.485,1968-07-18,,,CD7QbFoD,33,1.665,EEE
CCPbZtrOW7,2UcliPIE,2006-06-22,9,-2.603,1975-01-28,,,huHQZTAL,9,5.029,CCP
EEElv3NBKxi,2UcLIRxZ,2012-03-16,47,-7.007,1953-10-15,,,yklXhTp5,31,-3.205,EEE
EEEgB5K66oG,2ucsV4RS,1998-02-11,-48,2.5,1966-01-27,,,Rcy8LxSm,19,-1.317,EEE
DDDDwHHZvYiR,2Ueu7feN,1954-03-04,61,3.659,1992-10-12,,,TmoBvrUs,94,9.452,DDD
GG4QATrZQW,2Uh7nmVp,2008-11-12,-58,-8.646,2005-04-02,,,LKMywALg,8,2.425,GG4
AAADfXtxrog,2uhaWLpl,1966-01-19,-21,3.79,1978-12-07,,,LqezEyry,3,5.54,AAA
DDDDng0623Q8,2uhBbVsN,1968-07-17,-84,4.153,1987-09-25,,,KV8SLv6R,-54,7.248,DDD
KKOJNVWmjQ,2UHWKW4b,2009-03-10,90,-7.022,2008-12-28,,,WNMc93ns,5,4.703,KKO
LLLEDWjfFhr,2uIeoLGA,1973-01-25,-66,1.248,1952-12-11,,,3ok4ascH,-6,5.243,LLL
EEEOn7Hbm2x,2uIHMka6,1994-11-21,46,-8.026,1983-09-17,,,xBC9uHpX,-66,3.147,EEE
LLL2pIZxGkR,2uiJxOoB,2013-04-28,87,-3.254,2006-12-07,,,taTiiVsA,59,9.844,LLL
CCHInRjD6r,2UisJCSi,1980-12-01,51,-5.29,1990-01-30,,,jvZYw6HJ,-46,0.69,CCH
GGMCZl6u4N,2UyVMJtG,1954-02-24,89,8.662,1965-06-17,,,nmbX0JSW,-6,-5.372,GGM
AAAsF82FXe0,2UJojXzL,1951-07-15,91,6.628,1981-12-20,,,srzJ1zCO,64,-4.908,AAA
EEEmoBz7IZa,2uK9jpuv,1967-05-12,38,9.986,1973-05-11,,,0a63vm1y,13,-4.565,EEE
HHHZfQCfUEV,2UKEmWQJ,2017-03-20,8,-2.786,2015-07-29,,,BatlX2BL,-56,5.083,HHH
AAADMorl8SA,2ULUfFjO,1991-07-27,-77,1.454,1966-02-27,,,ygc0Stje,-61,-3.19,AAA
LLL8Fmr6jpr,2umsto37,1958-05-27,-7,-0.162,1995-10-21,,,bk1sMw7E,72,6.29,LLL
AAAL6X6lMa2,2UNx10xl,1977-01-24,90,-8.442,1951-11-10,,,,-66,-7.342,AAA
LLLnPc35Dcy,2UoWo2gP,1957-08-11,21,8.325,1970-06-01,,,ROta9cwP,-25,-7.984,LLL
BBBBNp6RnKW,2UqMcXEo,2011-08-13,-24,-2.581,1954-11-08,,,5ResnFFt,58,4.85,BBB
HHHbSA6attq,2uQoOggY,1953-12-19,83,-9.199,2007-10-02,,,NbNt42HI,42,1.707,HHH
EEEewuSGYVg,2uu8QpST,2011-08-18,-22,-9.196,1963-12-04,,,uCO5gzge,24,1.586,EEE
FF6WXUVAhX,2UUqQ3lf,1987-02-19,-88,-2.065,1982-01-24,,,bY2ILcF9,47,-2.931,FF6
AAAHscAleh6,2uvD1mED,1979-03-10,-99,0.883,1979-10-17,,,QTzkS8BJ,-26,3.055,AAA
KKoREzRsCV,2uvq7WX5,1954-08-29,48,3.952,1961-06-19,,,hVjf9gsD,-20,-7.32,KKo
AAAOhwwENBu,2uWgvV6V,2011-05-13,8,-0.583,1996-01-30,,,JuOGvt7h,4,-0.243,AAA
AAAPOzEIos1,2Ux8plEs,2007-03-08,75,5.116,1989-05-11,,,hAXRvQuU,5,-3.341,AAA
LLLXLlOXxin,2uXehKyQ,1975-10-17,-3,3.649,1979-03-14,,,wguYhDm5,-22,-4.315,LLL
FFUNDW811S,2V0t8YM4,1989-03-06,99,-8.309,1996-03-17,,,FfbOC2u7,-96,-2.636,FFU
GGlVNivbF2,2V4yAog5,1983-05-29,-52,-6.658,1963-08-26,,,xAA2zWA1,-2,9.982,GGl
LLLa2g85Jh2,2V8XgLLS,2014-08-15,43,-0.405,2000-11-17,,,yEKqwJk4,-100,9.904,LLL
KKrayufpHk,2vaDWevX,1962-02-13,47,0.222,1968-09-03,,,UCymynr4,-37,7.755,KKr
KK4rXzyMmw,2VArNSPX,1994-10-07,96,9.972,1953-12-25,,,X5qLgjDz,-22,-6.456,KK4
HHHjJmUObHv,2vBxytcL,1975-07-15,10,-3.423,1976-07-21,,,DFWKXLlH,27,-7.877,HHH
LLL6e8H8QMD,2VGA6l0O,1961-01-02,-39,-5.459,1966-07-10,,,WbikPbin,68,-5.705,LLL
LLLWy06XgX5,2VGkgzbT,1967-12-14,-48,-6.835,1956-03-04,,,5P2UYEtN,40,5.563,LLL
AAANmL1RQib,2VhfnjEx,1954-05-18,-67,6.513,2009-05-31,,,maV7mO4E,96,3.944,AAA
FFQ6KjGkt2,2vIbV0Yf,1989-05-28,-28,-5.071,2005-08-22,,,EJ0rlbHb,-87,-1.783,FFQ
LLLvgiA6lUJ,2vJGyPwc,1988-04-18,29,-7.552,2010-07-16,,,UWRMSTmf,86,-0.218,LLL
LLLNz3v1xSh,2vK9Airp,1972-06-17,18,-1.309,2011-03-23,,,mjWmzBbv,-76,-2.897,LLL
LLLE7t2J5eY,2VleUffQ,1974-10-09,51,-9.409,2007-09-26,,,0Sv0Yjf4,-18,5.824,LLL
AAAM37rXLGN,2vMh0jsM,2008-04-26,-21,2.95,1975-01-08,,,hyT4TVCq,38,-1.947,AAA
LLL6GJzgM9R,2VmPuVup,1973-02-07,-30,-4.147,1981-01-06,,,CcEp4mtI,81,-5.601,LLL
DDDDNlj0b446,2Vom1Kzs,1952-03-17,23,1.341,1976-05-15,,,3gGUza75,-52,-2.61,DDD
HHHjk9kuBrg,2Vr2ygZ4,1964-06-01,-74,-2.426,1956-01-16,,,FKep05ja,-35,-2.939,HHH
LLLrYACfDoM,2VRfn4Fz,1985-05-09,79,-1.15,1975-04-05,,,iZpoxLlM,-43,7.819,LLL
CCLDetLZTI,2VsjAzQn,2012-02-19,13,-3.727,1986-11-23,,,5lN5Srfv,-53,-9.792,CCL
KKk8AAVq9I,2VUyVaq9,2005-01-31,-91,-3.944,1993-05-04,,,hG3lz7GT,35,3.921,KKk
LLL0a7pfhCq,2VW0WPbe,1965-09-09,-24,4.252,2007-01-19,,,IBYK0O7L,17,3.171,LLL
DDDDupZWaZmy,2vwMGRNt,2004-07-19,-90,-7.109,1957-07-07,,,Eg2j2osQ,-97,2.364,DDD
BBBMFuMkzBV,2vWVmSib,1953-02-03,79,1.131,1964-01-07,,,A7qxjtef,-4,5.502,BBB
EEEwH8qEBO8,2W1wbDYt,1978-12-12,58,2.286,1969-03-09,,,0HIlCUv0,34,0.24,EEE
FFQBhDxG1E,2W44lZND,1993-12-09,50,2.191,1971-01-12,,,N26qQUb9,-2,7.413,FFQ
KKwsLrkkq6,2W48joJs,1962-01-20,-73,-9.839,1951-11-16,,,j5MVjmIk,30,1.214,KKw
LLLVtfxxO7r,2w5nnoGS,1987-10-11,-20,-8.483,2011-11-06,,,5k9CfNvH,19,-8.387,LLL
KKQqlvbOGy,2W6B1t6X,1962-10-08,-1,2.707,1998-04-25,,,z5JLvIeB,-30,5.702,KKQ
HHHxhCri5wJ,2W9IytDt,1953-07-05,-29,6.563,2011-06-20,,,yIjhsnQS,-19,2.672,HHH
DDDDtn3YDvfH,2weDpRLt,1983-11-17,-75,8.593,1997-07-31,,,JhQWUJAL,27,0.156,DDD
FFio0SejCS,2WEGLj4n,1954-10-06,-89,-5.966,2000-04-23,,,C3vABxgH,-78,-5.961,FFi
DDDDf6slryqU,2WEmz8XD,2008-11-21,53,-9.131,2004-08-07,,,UbEivlBm,-56,9.611,DDD
KKEAHte35k,2WEsIrm9,1977-05-26,-68,7.225,1985-11-13,,,x0NvOaoT,75,-8.182,KKE
EEESKUT5j3A,2wflenbQ,1982-08-13,0,8.15,1958-12-26,,,IOWBob5e,33,0.037,EEE
GGG3YGSxE3,2WFp6eQp,1964-06-25,80,5.189,1983-05-06,,,DPv7CRJC,-14,1.034,GGG
BBBp2E07MYv,2wgS2S1s,1955-09-03,27,-5.595,1960-12-19,,,9VzObQBj,-39,-2.773,BBB
LLL2mVGsTBb,2WH1IipN,2007-07-12,-58,-8.077,2000-12-06,,,HNCQvORj,77,1.027,LLL
FFcakXu4t6,2WHhNlcD,2016-09-25,-3,-6.937,1952-02-05,,,olAqt7BZ,-63,6.34,FFc
LLL05xh3xHz,2WhLW1HA,2006-05-05,-45,-0.099,2004-03-02,,,aRMsUNvH,79,-8.869,LLL
GGshfb4j7L,2WJDVC1o,1954-06-15,84,8.533,1963-01-13,,,JWMPxyCR,-42,1.663,GGs
AAAWrkXQIsA,2WjhAP2E,1960-12-31,-96,-0.859,2011-10-29,,,5OwAFrh5,-72,-6.536,AAA
HHHslUbzBqA,2wjX6cOY,1951-09-07,-46,4.662,1966-02-12,,,4n7gDkBa,36,9.509,HHH
FF7yV2553u,2WKatBi5,1962-01-31,67,4.159,2009-02-10,,,twKxYnn1,-19,-0.808,FF7
CC3VV5N5Dk,2wNbcn5G,2013-10-14,29,-0.217,1965-11-28,,,8tW9QxJF,12,-7.343,CC3
KKOXnYSmWD,2wNslaUa,1971-11-14,-71,-1.504,1986-09-21,,,LvKivRIC,-64,9.071,KKO
LLLZaySGtMf,2WOcoKEg,1966-06-15,32,4.117,1959-04-08,,,tutANKOb,96,-7.077,LLL
KKI228DSCD,2WpneTvQ,1974-08-08,99,9.574,1994-04-03,,,T7D1BcTb,-72,-2.893,KKI
EEEkcLuwL6Z,2wQ9FU5S,2002-10-23,41,-6.886,1967-04-06,,,WLwwUB4j,-31,-4.082,EEE
GGtTXO9lUn,2wqEks47,1999-10-11,-26,1.798,1994-09-11,,,6Plja0z2,-5,-9.305,GGt
CCHAtpGfIT,2wrazPoN,2002-02-22,64,-4.546,1992-08-06,,,CLKIbgyv,53,3.709,CCH
LLLq9k5qO5z,2WSNeReV,1963-07-29,-17,8.828,2016-12-08,,,PnIke1kz,-99,5.6,LLL
LLLwL3U6zEK,2WU6as5J,1974-02-28,-35,-5.36,2015-12-28,,,xHG0WvOD,42,-9.188,LLL
BBBham0853k,2wuBwRbv,1960-05-16,-83,-0.414,2014-10-28,,,5eUD3hlX,-72,8.521,BBB
DDDDQwDQ9ePq,2WUu4ScN,2003-02-19,89,0.133,1979-01-08,,,7o3cfoEJ,15,-9.113,DDD
FFHO3zixz5,2wwexukg,2007-05-16,12,-9.079,1965-05-25,,,PkJ2CMOz,25,2.967,FFH
GG6uDQDrqz,2wwLb35T,1987-12-28,92,9.477,2005-04-15,,,gPfAhlQF,44,4.47,GG6
LLLQR8w3im3,2wzTl4TJ,1977-12-06,0,-7.978,2015-06-15,,,OOsQuPiu,-33,-0.492,LLL
DDDDt1i9Nuhp,2X1Z22tX,2007-10-23,-85,-3.048,2005-06-05,,,RC7V0Xbe,-83,-2.298,DDD
CCtkyX9YZy,2XAy1bXz,1955-07-09,89,-5.963,2016-01-17,,,KMoQeSgA,-90,-9.212,CCt
FFRGhM42tP,2xBQrnQS,1980-11-23,50,-1.731,2017-01-07,,,eQQK5xVm,57,-2.37,FFR
HHHrJL8Yq4S,2XbVcAKH,1992-11-20,-46,-2.413,1991-07-29,,,IXoaSx2z,19,4.201,HHH
AAAvXL9w72O,2XcR7P6H,1951-07-12,-2,7.649,2007-03-31,,,ghObI16a,91,1.337,AAA
AAALhcXEjAS,2xcSKqGY,1952-02-21,-92,-6.966,2008-10-16,,,ODYeR2g5,-47,-5.409,AAA
HHH2MM9hc8L,2xDbnpIi,1991-11-18,-89,-3.307,1989-06-22,,,OtHDTMR4,-14,-2.18,HHH
FFti1wcHPO,2XebC9uw,1954-03-04,-96,-6.143,1984-03-15,,,u4VpFvOu,-45,-8.732,FFt
EEEA7j6OC3T,2xyqWCpn,1957-09-03,-80,-6.799,1965-04-26,,,iYQ62bFm,60,2.371,EEE
DDDDjqQzyMUN,2XkRzlQp,2007-01-11,-2,7.745,1975-02-20,,,F00MrixK,-78,2.309,DDD
